"id","target","f0","f1","f2","f3","f5","f6","f7","f9","f10","f11","f13","f14","f15","f16","f18","f19","f20","f22","f23","f24"
0,0,1013.1,0,5.019,26.1,11.1,33,11,0,3.6,29,0,0,19,27.8,6,1008.9,1,17.4,61,63
1,0,1010.2,1,5.0142,10.4,9.8,46,17,0,0.8,14.4,0.8,4,22,12.7,12,1012.4,5,6.8,55,80
2,0,1014.4,2,5.028,12.3,3.7,31,13,1,1.4,15.4,14.6,7,9,13,7,1016.1,7,10.1,61,70
3,0,1019.2,3,5.0335,23,11.6,41,9,0,8,33.4,0,0,17,32.3,10,1016.6,1,14.4,39,40
4,0,1027.6,4,5.0129,7.3,7.3,28,15,1,0.2,14.3,10,1,13,13.7,7,1024.4,7,6.8,47,92
5,0,1015.9,5,5.023,23.2,11,43,26,0,9.2,29.9,0,1,17,29.1,6,1012.1,1,19.3,37,44
6,1,1014.4,6,5.0212,24.7,2.1,44,17,0,10.6,25.8,0,8,19,15.3,2,1014.9,6,17.9,47,56
7,1,1016.5,7,5.0237,18.2,6.2,65,19,0,3.4,20.1,0,7,15,16,4,1014.8,1,13.8,65,62
8,0,1020.4,8,5.0104,22.7,0,31,2,0,3.6,26.7,0.4,8,11,25.8,0,1019.6,8,20.2,64,86
9,0,1029.8,9,5.0244,12.7,12.1,33,6,0,1.8,20.2,0,8,20,19.2,12,1026.4,1,8.5,47,70
10,0,1018.9,10,5.0272,18.9,9.4,26,13,1,4,22.9,8.4,2,9,22.2,8,1017.2,5,16.3,64,68
11,0,1018.9,11,5.0148,26.6,12.9,46,17,0,6.6,29.1,0,3,35,27.7,12,1016.7,2,21.4,65,71
12,0,1015.4,12,5.0233,14.3,11.1,41,24,0,2.2,18.8,0.2,1,20,18.3,12,1014.5,0,5.6,40,44
13,0,1018,13,5.0203,16.8,12.9,41,19,0,8,28.9,0,5,7,26.4,9,1014.5,4,10.5,46,35
14,1,1009.7,14,5.0116,15.3,7.9,54,19,0,3.4,20.1,0,7,28,19.4,9,1005.7,5,10,43,66
15,0,1019.1,15,5.0135,11.4,6.9,35,13,0,4.8,21.6,0,3,19,19.7,7,1019.6,7,10,38,60
16,0,1018.1,16,5.0192,22,13.2,41,17,0,8,30.6,0,1,28,28.1,9,1014.9,0,12,41,39
17,0,1015.1,8,5.0224,19.4,8.5,22,13,0,2.4,23.7,0.4,5,17,21.8,4,1013.5,2,17,45,86
18,0,998.7,17,5.0297,9.7,3,54,20,1,1,14.1,3.2,7,30,14,8,997.9,5,5.9,38,66
19,0,1023,18,5.0137,20.1,10.1,44,13,0,7.6,28.4,0,1,15,27.2,8,1018.5,0,7.1,38,43
20,0,1016.1,9,5.028,18.1,3.7,44,17,0,3,23.9,0,3,15,22.4,6,1014.1,8,14.3,63,78
21,0,1010.8,19,5.022,13.3,9.7,37,19,0,3.6,20.8,0,4,15,19.5,2,1012.4,3,9.7,44,70
22,0,1034,20,5.0182,12.1,9.3,33,20,0,3.2,21.9,0,1,11,21,6,1030.5,0,4.1,37,56
23,0,1021.6,15,5.0173,15.3,10.8,28,17,0,3.8,22.8,0,2,13,22,8,1019.2,1,11.6,41,76
24,0,1009.8,1,5.0253,12.5,7.4,56,22,1,2.8,15.6,14.4,8,30,15.1,12,1012.6,8,12.5,53,79
25,0,996.3,2,5.0198,27.6,12.9,46,17,0,9.6,35.1,0,6,28,26.9,10,995.1,1,18.1,48,43
26,1,1020,21,5.0191,21.4,2.9,28,6,1,3.4,23.3,7.2,7,7,19.7,4,1016.2,6,16.2,47,79
27,0,1025.8,22,5.0145,10.3,6.3,54,24,1,3,13.9,2.8,6,33,13.5,12,1023,6,7.8,63,62
28,0,1013.4,23,5.0303,12.5,5.2,31,0,1,3.1,20.5,5.8,6,4,19.4,7,1012.3,7,9.7,64,96
29,1,1018.8,9,5.0219,9.2,0,35,4,0,0.8,14.2,0,8,17,12.9,10,1017.1,8,4.2,64,98
30,0,1019.6,24,5.0016,18,11.2,31,13,0,5.2,24.1,0,1,15,23.5,7,1016.1,0,13.3,47,52
31,0,1018.2,17,5.032,18.4,12.7,41,7,0,6,22.3,0.2,1,26,19,11,1017.9,1,11.8,57,50
32,0,1010.9,5,5.0085,30.1,11.7,39,15,0,6.4,33.4,0,2,30,33.1,4,1008.3,6,23.5,57,71
33,0,1029.1,25,5.0305,11.8,8.6,44,26,1,5.6,19,24.4,3,22,17.9,10,1028.1,3,10.2,50,69
34,0,1013.6,26,5.0212,17.6,0,37,19,1,4.6,19,4.2,8,15,17.6,5,1012.3,8,14.8,58,63
35,1,1013.7,7,5.0141,23.4,0,22,9,0,4,25.3,0.8,7,13,23.6,8,1012.6,7,22.6,47,95
36,0,1014,3,5.0078,14.7,9,41,7,1,2,18.7,1.2,4,20,16.8,10,1013.3,3,9.5,54,81
37,0,1030,17,5.0139,5.4,8,31,20,0,0.8,13.4,0,2,11,13.1,6,1028.2,7,3.6,57,86
38,0,1019.7,1,5.0079,8.8,4,46,13,0,1.4,13.3,0,7,24,13,7,1020,8,2.9,52,75
39,1,1006.2,27,5.0136,23.5,2.3,80,22,0,3.4,26.1,0,7,31,24.4,4,1001.1,7,8,44,27
40,0,1027.7,20,5.0182,12.1,9.2,30,9,0,2.4,20.4,0,1,17,19.9,0,1024.2,0,7.6,45,64
41,0,1013.1,28,5.0273,7,7.1,48,24,0,1.8,9.9,0,4,20,8.4,9,1013.5,7,2.8,66,76
42,0,1019.7,29,5.0196,14.3,7.4,37,20,0,4.6,18.4,0,7,22,17.1,3,1016.2,6,8.7,51,45
43,0,1019.6,15,5.0256,20.4,10.5,46,15,0,5.6,31.2,0,1,24,30.5,13,1016,3,15,49,62
44,0,1009.7,28,5.0015,-1,1.5,44,11,0,1.4,5.2,0,7,7,3.7,11,1009.8,5,-4.4,61,97
45,0,1030.2,13,5.0259,6.8,8.9,20,9,0,1,13.1,0.2,4,11,12.6,13,1028,0,0.8,52,72
46,0,1017.3,18,5.0281,13.1,10.9,39,17,0,5,20.4,0,1,20,20,11,1013.5,2,5.2,41,74
47,0,1008.6,24,5.0253,29.4,13.2,50,20,0,13,41.1,0,2,15,39.4,7,1004.5,1,24.3,46,38
48,1,1021.8,25,5.0218,26.1,10,37,4,0,8,28.8,0,5,26,27.6,7,1021,1,21,61,62
49,0,1018.1,7,5.0128,18.4,6.7,35,20,1,1.8,20,1.4,7,20,18.6,4,1016.9,5,14.2,62,58
50,0,1011.7,1,5.0241,28,11.3,50,9,0,11.6,37.3,0,1,22,35.7,8,1009.4,3,24.8,38,24
51,1,1019.4,30,5.0092,14.3,6.1,30,9,0,2.2,16.5,0.8,5,7,14.5,7,1016.9,8,12.9,66,78
52,1,1020.2,24,5.0115,10.7,6.5,54,17,0,4.8,17.2,0,7,20,13.9,3,1018.1,2,4.8,48,69
53,1,1022.2,31,5.0199,14.2,0,52,28,1,0,17.5,3.6,8,30,16.9,9,1020.4,8,11.6,61,83
54,0,1013.2,10,5.0307,22.7,11,50,7,0,6.8,38.8,0,4,17,37.6,10,1007.6,0,15.5,42,67
55,0,1028.1,32,5.0219,13.9,11.4,30,9,0,3.2,17.5,0,2,15,17.2,4,1026,0,6.1,49,54
56,0,1013,5,5.0086,25,9.6,50,17,0,7.4,32.6,0,3,19,31.5,8,1010.4,1,20.8,45,45
57,0,1025.4,31,5.0319,14.1,5.2,28,13,1,1.4,18.9,26,6,15,18.5,10,1023.2,1,9.9,55,76
58,1,1019,33,5.0165,9.2,5.7,35,17,1,4.2,13.6,5.8,1,24,12.8,7,1017.1,8,6.5,55,82
59,0,1036.9,17,5.0232,11,9.7,26,13,0,2.6,13.8,0,2,17,13.3,5,1034.9,6,8,65,69
60,0,1018.5,15,5.0131,19.3,7,41,11,0,8,33.1,0,7,17,31.3,13,1015,4,11.8,46,36
61,1,1013.1,20,5.0049,14.7,8.9,56,13,1,4.4,18.6,24.6,3,31,18.3,0,1013.3,6,11.6,44,81
62,0,1013.5,5,5.022,30.8,11.4,33,11,0,6.8,33.7,0,1,19,33.4,10,1009,2,24.9,51,59
